timestamp,step,phase,cpu_util_percent,gpu_util_percent,gpu_mem_mb,gpu_power_w,host_mem_mb,disk_read_mb_s,disk_write_mb_s
2026-04-21T02:01:40.970+00:00,700,backward,100.206,100.000,143.019,299.520,1200.531,0.000,0.000
2026-04-21T02:01:41.101+00:00,706,forward,92.565,100.000,1587.189,298.950,1200.531,0.000,0.000
2026-04-21T02:01:41.231+00:00,710,idle,99.867,100.000,143.019,299.270,1200.594,0.000,0.000
2026-04-21T02:01:41.364+00:00,716,backward,107.149,100.000,1590.777,298.870,1200.660,0.000,0.867
2026-04-21T02:01:41.494+00:00,720,idle,98.323,100.000,143.019,299.430,1200.594,0.000,0.000
2026-04-21T02:01:41.628+00:00,727,backward,99.929,100.000,1585.012,299.420,1200.656,0.000,0.000
2026-04-21T02:01:41.757+00:00,730,idle,104.758,100.000,956.805,299.460,1200.531,0.000,0.000
2026-04-21T02:01:41.889+00:00,738,optimizer,100.163,100.000,1590.777,299.440,1200.594,0.000,0.000
2026-04-21T02:01:42.018+00:00,740,idle,106.439,100.000,1348.799,299.240,1200.531,0.000,0.000
2026-04-21T02:01:42.149+00:00,749,backward,100.639,100.000,145.519,298.730,1200.656,0.000,0.060
2026-04-21T02:01:42.278+00:00,750,forward,99.231,100.000,145.519,298.520,1200.656,0.000,0.000
2026-04-21T02:01:42.411+00:00,750,forward,92.848,94.000,145.519,298.040,1200.594,0.000,2.629
2026-04-21T02:01:42.540+00:00,750,dataloader,105.541,87.000,145.519,298.770,1201.156,0.000,0.000
2026-04-21T02:01:42.671+00:00,750,forward,93.268,87.000,145.519,298.990,1200.656,0.000,0.182
2026-04-21T02:01:42.800+00:00,750,dataloader,106.331,87.000,145.519,299.130,1202.031,0.000,0.000
2026-04-21T02:01:42.931+00:00,750,forward,101.273,87.000,145.519,298.760,1200.656,0.000,0.000
2026-04-21T02:01:43.063+00:00,750,forward,99.022,87.000,145.519,298.540,1200.531,0.000,0.000
2026-04-21T02:01:43.192+00:00,750,dataloader,98.527,87.000,145.519,298.630,1201.656,0.000,0.000
2026-04-21T02:01:43.328+00:00,750,forward,100.704,87.000,243.957,298.460,1200.656,0.000,0.000
2026-04-21T02:01:43.458+00:00,750,forward,102.866,87.000,146.269,299.530,1200.656,0.000,0.000
2026-04-21T02:01:43.589+00:00,750,forward,99.881,87.000,146.269,299.120,1200.594,0.000,0.000
2026-04-21T02:01:43.719+00:00,750,forward,99.244,87.000,146.269,299.190,1200.656,0.000,0.000
2026-04-21T02:01:43.851+00:00,750,forward,108.047,88.000,146.269,299.020,1200.656,0.000,0.000
2026-04-21T02:01:43.980+00:00,750,forward,106.268,87.000,146.269,298.860,1200.594,0.000,0.000
2026-04-21T02:01:44.109+00:00,750,dataloader,100.202,87.000,146.269,298.710,1200.594,0.000,0.000
2026-04-21T02:01:44.238+00:00,750,forward,92.951,88.000,146.269,298.510,1200.594,0.000,0.000
2026-04-21T02:01:44.370+00:00,750,forward,101.167,88.000,146.269,299.340,1200.594,0.000,0.182
2026-04-21T02:01:44.500+00:00,750,forward,98.576,88.000,146.269,299.590,1200.594,0.000,0.474
2026-04-21T02:01:44.631+00:00,750,dataloader,107.191,88.000,219.957,298.790,1200.594,0.000,12.561
2026-04-21T02:01:44.762+00:00,750,forward,99.706,84.000,146.269,298.520,1200.594,0.000,2.696
2026-04-21T02:01:44.890+00:00,750,forward,99.214,84.000,146.269,298.670,1200.594,0.000,0.030
